Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
custom-round-diamond-ring,,,,,,,,Rose Gold,,1.50,RD-ROSEGOLD-1.50,,continue,manual,3500,TRUE,TRUE,
custom-round-diamond-ring,,,,,,,,Rose Gold,,2.00,RD-ROSEGOLD-2.00,,continue,manual,6000,TRUE,TRUE,
custom-round-diamond-ring,,,,,,,,Rose Gold,,3.00,RD-ROSEGOLD-3.00,,continue,manual,12000,TRUE,TRUE,
custom-round-diamond-ring,,,,,,,,Platinum,,0.50,RD-PLATINUM-0.50,,continue,manual,1040,TRUE,TRUE,
custom-round-diamond-ring,,,,,,,,Platinum,,0.75,RD-PLATINUM-0.75,,continue,manual,1560,TRUE,TRUE,
custom-round-diamond-ring,,,,,,,,Platinum,,1.00,RD-PLATINUM-1.00,,continue,manual,2600,TRUE,TRUE,
custom-round-diamond-ring,,,,,,,,Platinum,,1.50,RD-PLATINUM-1.50,,continue,manual,4550,TRUE,TRUE,
custom-round-diamond-ring,,,,,,,,Platinum,,2.00,RD-PLATINUM-2.00,,continue,manual,7800,TRUE,TRUE,
custom-round-diamond-ring,,,,,,,,Platinum,,3.00,RD-PLATINUM-3.00,,continue,manual,15600,TRUE,TRUE,
custom-oval-diamond-ring,Custom Oval Diamond Engagement Ring,"Customisable Oval-cut diamond ring. Choose metal, carat, setting & engraving in the 3D builder.",Your Brand,Ring,"ring,Oval,custom",TRUE,Metal,White Gold,Carat,0.50,OV-WHITEGOLD-0.50,,continue,manual,800,TRUE,TRUE,active
custom-oval-diamond-ring,,,,,,,,White Gold,,0.75,OV-WHITEGOLD-0.75,,continue,manual,1200,TRUE,TRUE,
custom-oval-diamond-ring,,,,,,,,White Gold,,1.00,OV-WHITEGOLD-1.00,,continue,manual,2000,TRUE,TRUE,
custom-oval-diamond-ring,,,,,,,,White Gold,,1.50,OV-WHITEGOLD-1.50,,continue,manual,3500,TRUE,TRUE,
custom-oval-diamond-ring,,,,,,,,White Gold,,2.00,OV-WHITEGOLD-2.00,,continue,manual,6000,TRUE,TRUE,
custom-oval-diamond-ring,,,,,,,,White Gold,,3.00,OV-WHITEGOLD-3.00,,continue,manual,12000,TRUE,TRUE,
custom-oval-diamond-ring,,,,,,,,Yellow Gold,,0.50,OV-YELLOWGOLD-0.50,,continue,manual,800,TRUE,TRUE,
custom-oval-diamond-ring,,,,,,,,Yellow Gold,,0.75,OV-YELLOWGOLD-0.75,,continue,manual,1200,TRUE,TRUE,
custom-oval-diamond-ring,,,,,,,,Yellow Gold,,1.00,OV-YELLOWGOLD-1.00,,continue,manual,2000,TRUE,TRUE,
custom-oval-diamond-ring,,,,,,,,Yellow Gold,,1.50,OV-YELLOWGOLD-1.50,,continue,manual,3500,TRUE,TRUE,
custom-oval-diamond-ring,,,,,,,,Yellow Gold,,2.00,OV-YELLOWGOLD-2.00,,continue,manual,6000,TRUE,TRUE,
custom-oval-diamond-ring,,,,,,,,Yellow Gold,,3.00,OV-YELLOWGOLD-3.00,,continue,manual,12000,TRUE,TRUE,
custom-oval-diamond-ring,,,,,,,,Rose Gold,,0.50,OV-ROSEGOLD-0.50,,continue,manual,800,TRUE,TRUE,
custom-oval-diamond-ring,,,,,,,,Rose Gold,,0.75,OV-ROSEGOLD-0.75,,continue,manual,1200,TRUE,TRUE,
custom-oval-diamond-ring,,,,,,,,Rose Gold,,1.00,OV-ROSEGOLD-1.00,,continue,manual,2000,TRUE,TRUE,
custom-oval-diamond-ring,,,,,,,,Rose Gold,,1.50,OV-ROSEGOLD-1.50,,continue,manual,3500,TRUE,TRUE,
custom-oval-diamond-ring,,,,,,,,Rose Gold,,2.00,OV-ROSEGOLD-2.00,,continue,manual,6000,TRUE,TRUE,
custom-oval-diamond-ring,,,,,,,,Rose Gold,,3.00,OV-ROSEGOLD-3.00,,continue,manual,12000,TRUE,TRUE,
custom-oval-diamond-ring,,,,,,,,Platinum,,0.50,OV-PLATINUM-0.50,,continue,manual,1040,TRUE,TRUE,
custom-oval-diamond-ring,,,,,,,,Platinum,,0.75,OV-PLATINUM-0.75,,continue,manual,1560,TRUE,TRUE,
custom-oval-diamond-ring,,,,,,,,Platinum,,1.00,OV-PLATINUM-1.00,,continue,manual,2600,TRUE,TRUE,
custom-oval-diamond-ring,,,,,,,,Platinum,,1.50,OV-PLATINUM-1.50,,continue,manual,4550,TRUE,TRUE,
custom-oval-diamond-ring,,,,,,,,Platinum,,2.00,OV-PLATINUM-2.00,,continue,manual,7800,TRUE,TRUE,
custom-oval-diamond-ring,,,,,,,,Platinum,,3.00,OV-PLATINUM-3.00,,continue,manual,15600,TRUE,TRUE,
custom-princess-diamond-ring,Custom Princess Diamond Engagement Ring,"Customisable Princess-cut diamond ring. Choose metal, carat, setting & engraving in the 3D builder.",Your Brand,Ring,"ring,Princess,custom",TRUE,Metal,White Gold,Carat,0.50,PR-WHITEGOLD-0.50,,continue,manual,800,TRUE,TRUE,active
custom-princess-diamond-ring,,,,,,,,White Gold,,0.75,PR-WHITEGOLD-0.75,,continue,manual,1200,TRUE,TRUE,
custom-princess-diamond-ring,,,,,,,,White Gold,,1.00,PR-WHITEGOLD-1.00,,continue,manual,2000,TRUE,TRUE,
custom-princess-diamond-ring,,,,,,,,White Gold,,1.50,PR-WHITEGOLD-1.50,,continue,manual,3500,TRUE,TRUE,
custom-princess-diamond-ring,,,,,,,,White Gold,,2.00,PR-WHITEGOLD-2.00,,continue,manual,6000,TRUE,TRUE,
custom-princess-diamond-ring,,,,,,,,White Gold,,3.00,PR-WHITEGOLD-3.00,,continue,manual,12000,TRUE,TRUE,
custom-princess-diamond-ring,,,,,,,,Yellow Gold,,0.50,PR-YELLOWGOLD-0.50,,continue,manual,800,TRUE,TRUE,
custom-princess-diamond-ring,,,,,,,,Yellow Gold,,0.75,PR-YELLOWGOLD-0.75,,continue,manual,1200,TRUE,TRUE,
custom-princess-diamond-ring,,,,,,,,Yellow Gold,,1.00,PR-YELLOWGOLD-1.00,,continue,manual,2000,TRUE,TRUE,
custom-princess-diamond-ring,,,,,,,,Yellow Gold,,1.50,PR-YELLOWGOLD-1.50,,continue,manual,3500,TRUE,TRUE,
custom-princess-diamond-ring,,,,,,,,Yellow Gold,,2.00,PR-YELLOWGOLD-2.00,,continue,manual,6000,TRUE,TRUE,
custom-princess-diamond-ring,,,,,,,,Yellow Gold,,3.00,PR-YELLOWGOLD-3.00,,continue,manual,12000,TRUE,TRUE,
custom-princess-diamond-ring,,,,,,,,Rose Gold,,0.50,PR-ROSEGOLD-0.50,,continue,manual,800,TRUE,TRUE,
custom-princess-diamond-ring,,,,,,,,Rose Gold,,0.75,PR-ROSEGOLD-0.75,,continue,manual,1200,TRUE,TRUE,
custom-princess-diamond-ring,,,,,,,,Rose Gold,,1.00,PR-ROSEGOLD-1.00,,continue,manual,2000,TRUE,TRUE,
custom-princess-diamond-ring,,,,,,,,Rose Gold,,1.50,PR-ROSEGOLD-1.50,,continue,manual,3500,TRUE,TRUE,
custom-princess-diamond-ring,,,,,,,,Rose Gold,,2.00,PR-ROSEGOLD-2.00,,continue,manual,6000,TRUE,TRUE,
custom-princess-diamond-ring,,,,,,,,Rose Gold,,3.00,PR-ROSEGOLD-3.00,,continue,manual,12000,TRUE,TRUE,
custom-princess-diamond-ring,,,,,,,,Platinum,,0.50,PR-PLATINUM-0.50,,continue,manual,1040,TRUE,TRUE,
custom-princess-diamond-ring,,,,,,,,Platinum,,0.75,PR-PLATINUM-0.75,,continue,manual,1560,TRUE,TRUE,
custom-princess-diamond-ring,,,,,,,,Platinum,,1.00,PR-PLATINUM-1.00,,continue,manual,2600,TRUE,TRUE,
custom-princess-diamond-ring,,,,,,,,Platinum,,1.50,PR-PLATINUM-1.50,,continue,manual,4550,TRUE,TRUE,
custom-princess-diamond-ring,,,,,,,,Platinum,,2.00,PR-PLATINUM-2.00,,continue,manual,7800,TRUE,TRUE,
custom-princess-diamond-ring,,,,,,,,Platinum,,3.00,PR-PLATINUM-3.00,,continue,manual,15600,TRUE,TRUE,
custom-emerald-diamond-ring,Custom Emerald Diamond Engagement Ring,"Customisable Emerald-cut diamond ring. Choose metal, carat, setting & engraving in the 3D builder.",Your Brand,Ring,"ring,Emerald,custom",TRUE,Metal,White Gold,Carat,0.50,EM-WHITEGOLD-0.50,,continue,manual,800,TRUE,TRUE,active
custom-emerald-diamond-ring,,,,,,,,White Gold,,0.75,EM-WHITEGOLD-0.75,,continue,manual,1200,TRUE,TRUE,
custom-emerald-diamond-ring,,,,,,,,White Gold,,1.00,EM-WHITEGOLD-1.00,,continue,manual,2000,TRUE,TRUE,
custom-emerald-diamond-ring,,,,,,,,White Gold,,1.50,EM-WHITEGOLD-1.50,,continue,manual,3500,TRUE,TRUE,
custom-emerald-diamond-ring,,,,,,,,White Gold,,2.00,EM-WHITEGOLD-2.00,,continue,manual,6000,TRUE,TRUE,
custom-emerald-diamond-ring,,,,,,,,White Gold,,3.00,EM-WHITEGOLD-3.00,,continue,manual,12000,TRUE,TRUE,
custom-emerald-diamond-ring,,,,,,,,Yellow Gold,,0.50,EM-YELLOWGOLD-0.50,,continue,manual,800,TRUE,TRUE,
custom-emerald-diamond-ring,,,,,,,,Yellow Gold,,0.75,EM-YELLOWGOLD-0.75,,continue,manual,1200,TRUE,TRUE,
custom-emerald-diamond-ring,,,,,,,,Yellow Gold,,1.00,EM-YELLOWGOLD-1.00,,continue,manual,2000,TRUE,TRUE,
custom-emerald-diamond-ring,,,,,,,,Yellow Gold,,1.50,EM-YELLOWGOLD-1.50,,continue,manual,3500,TRUE,TRUE,
custom-emerald-diamond-ring,,,,,,,,Yellow Gold,,2.00,EM-YELLOWGOLD-2.00,,continue,manual,6000,TRUE,TRUE,
custom-emerald-diamond-ring,,,,,,,,Yellow Gold,,3.00,EM-YELLOWGOLD-3.00,,continue,manual,12000,TRUE,TRUE,
custom-emerald-diamond-ring,,,,,,,,Rose Gold,,0.50,EM-ROSEGOLD-0.50,,continue,manual,800,TRUE,TRUE,
custom-emerald-diamond-ring,,,,,,,,Rose Gold,,0.75,EM-ROSEGOLD-0.75,,continue,manual,1200,TRUE,TRUE,
custom-emerald-diamond-ring,,,,,,,,Rose Gold,,1.00,EM-ROSEGOLD-1.00,,continue,manual,2000,TRUE,TRUE,
custom-emerald-diamond-ring,,,,,,,,Rose Gold,,1.50,EM-ROSEGOLD-1.50,,continue,manual,3500,TRUE,TRUE,
custom-emerald-diamond-ring,,,,,,,,Rose Gold,,2.00,EM-ROSEGOLD-2.00,,continue,manual,6000,TRUE,TRUE,
custom-emerald-diamond-ring,,,,,,,,Rose Gold,,3.00,EM-ROSEGOLD-3.00,,continue,manual,12000,TRUE,TRUE,
custom-emerald-diamond-ring,,,,,,,,Platinum,,0.50,EM-PLATINUM-0.50,,continue,manual,1040,TRUE,TRUE,
custom-emerald-diamond-ring,,,,,,,,Platinum,,0.75,EM-PLATINUM-0.75,,continue,manual,1560,TRUE,TRUE,
custom-emerald-diamond-ring,,,,,,,,Platinum,,1.00,EM-PLATINUM-1.00,,continue,manual,2600,TRUE,TRUE,
custom-emerald-diamond-ring,,,,,,,,Platinum,,1.50,EM-PLATINUM-1.50,,continue,manual,4550,TRUE,TRUE,
custom-emerald-diamond-ring,,,,,,,,Platinum,,2.00,EM-PLATINUM-2.00,,continue,manual,7800,TRUE,TRUE,
custom-emerald-diamond-ring,,,,,,,,Platinum,,3.00,EM-PLATINUM-3.00,,continue,manual,15600,TRUE,TRUE,
custom-marquise-diamond-ring,Custom Marquise Diamond Engagement Ring,"Customisable Marquise-cut diamond ring. Choose metal, carat, setting & engraving in the 3D builder.",Your Brand,Ring,"ring,Marquise,custom",TRUE,Metal,White Gold,Carat,0.50,MQ-WHITEGOLD-0.50,,continue,manual,800,TRUE,TRUE,active
custom-marquise-diamond-ring,,,,,,,,White Gold,,0.75,MQ-WHITEGOLD-0.75,,continue,manual,1200,TRUE,TRUE,
custom-marquise-diamond-ring,,,,,,,,White Gold,,1.00,MQ-WHITEGOLD-1.00,,continue,manual,2000,TRUE,TRUE,
custom-marquise-diamond-ring,,,,,,,,White Gold,,1.50,MQ-WHITEGOLD-1.50,,continue,manual,3500,TRUE,TRUE,
custom-marquise-diamond-ring,,,,,,,,White Gold,,2.00,MQ-WHITEGOLD-2.00,,continue,manual,6000,TRUE,TRUE,
custom-marquise-diamond-ring,,,,,,,,White Gold,,3.00,MQ-WHITEGOLD-3.00,,continue,manual,12000,TRUE,TRUE,
custom-marquise-diamond-ring,,,,,,,,Yellow Gold,,0.50,MQ-YELLOWGOLD-0.50,,continue,manual,800,TRUE,TRUE,
custom-marquise-diamond-ring,,,,,,,,Yellow Gold,,0.75,MQ-YELLOWGOLD-0.75,,continue,manual,1200,TRUE,TRUE,
custom-marquise-diamond-ring,,,,,,,,Yellow Gold,,1.00,MQ-YELLOWGOLD-1.00,,continue,manual,2000,TRUE,TRUE,
custom-marquise-diamond-ring,,,,,,,,Yellow Gold,,1.50,MQ-YELLOWGOLD-1.50,,continue,manual,3500,TRUE,TRUE,
custom-marquise-diamond-ring,,,,,,,,Yellow Gold,,2.00,MQ-YELLOWGOLD-2.00,,continue,manual,6000,TRUE,TRUE,
custom-marquise-diamond-ring,,,,,,,,Yellow Gold,,3.00,MQ-YELLOWGOLD-3.00,,continue,manual,12000,TRUE,TRUE,
custom-marquise-diamond-ring,,,,,,,,Rose Gold,,0.50,MQ-ROSEGOLD-0.50,,continue,manual,800,TRUE,TRUE,
custom-marquise-diamond-ring,,,,,,,,Rose Gold,,0.75,MQ-ROSEGOLD-0.75,,continue,manual,1200,TRUE,TRUE,
custom-marquise-diamond-ring,,,,,,,,Rose Gold,,1.00,MQ-ROSEGOLD-1.00,,continue,manual,2000,TRUE,TRUE,
custom-marquise-diamond-ring,,,,,,,,Rose Gold,,1.50,MQ-ROSEGOLD-1.50,,continue,manual,3500,TRUE,TRUE,
custom-marquise-diamond-ring,,,,,,,,Rose Gold,,2.00,MQ-ROSEGOLD-2.00,,continue,manual,6000,TRUE,TRUE,
custom-marquise-diamond-ring,,,,,,,,Rose Gold,,3.00,MQ-ROSEGOLD-3.00,,continue,manual,12000,TRUE,TRUE,
custom-marquise-diamond-ring,,,,,,,,Platinum,,0.50,MQ-PLATINUM-0.50,,continue,manual,1040,TRUE,TRUE,
custom-marquise-diamond-ring,,,,,,,,Platinum,,0.75,MQ-PLATINUM-0.75,,continue,manual,1560,TRUE,TRUE,
custom-marquise-diamond-ring,,,,,,,,Platinum,,1.00,MQ-PLATINUM-1.00,,continue,manual,2600,TRUE,TRUE,
custom-marquise-diamond-ring,,,,,,,,Platinum,,1.50,MQ-PLATINUM-1.50,,continue,manual,4550,TRUE,TRUE,
custom-marquise-diamond-ring,,,,,,,,Platinum,,2.00,MQ-PLATINUM-2.00,,continue,manual,7800,TRUE,TRUE,
custom-marquise-diamond-ring,,,,,,,,Platinum,,3.00,MQ-PLATINUM-3.00,,continue,manual,15600,TRUE,TRUE,
custom-pear-diamond-ring,Custom Pear Diamond Engagement Ring,"Customisable Pear-cut diamond ring. Choose metal, carat, setting & engraving in the 3D builder.",Your Brand,Ring,"ring,Pear,custom",TRUE,Metal,White Gold,Carat,0.50,PE-WHITEGOLD-0.50,,continue,manual,800,TRUE,TRUE,active
custom-pear-diamond-ring,,,,,,,,White Gold,,0.75,PE-WHITEGOLD-0.75,,continue,manual,1200,TRUE,TRUE,
custom-pear-diamond-ring,,,,,,,,White Gold,,1.00,PE-WHITEGOLD-1.00,,continue,manual,2000,TRUE,TRUE,
custom-pear-diamond-ring,,,,,,,,White Gold,,1.50,PE-WHITEGOLD-1.50,,continue,manual,3500,TRUE,TRUE,
custom-pear-diamond-ring,,,,,,,,White Gold,,2.00,PE-WHITEGOLD-2.00,,continue,manual,6000,TRUE,TRUE,
custom-pear-diamond-ring,,,,,,,,White Gold,,3.00,PE-WHITEGOLD-3.00,,continue,manual,12000,TRUE,TRUE,
custom-pear-diamond-ring,,,,,,,,Yellow Gold,,0.50,PE-YELLOWGOLD-0.50,,continue,manual,800,TRUE,TRUE,
custom-pear-diamond-ring,,,,,,,,Yellow Gold,,0.75,PE-YELLOWGOLD-0.75,,continue,manual,1200,TRUE,TRUE,
custom-pear-diamond-ring,,,,,,,,Yellow Gold,,1.00,PE-YELLOWGOLD-1.00,,continue,manual,2000,TRUE,TRUE,
custom-pear-diamond-ring,,,,,,,,Yellow Gold,,1.50,PE-YELLOWGOLD-1.50,,continue,manual,3500,TRUE,TRUE,
custom-pear-diamond-ring,,,,,,,,Yellow Gold,,2.00,PE-YELLOWGOLD-2.00,,continue,manual,6000,TRUE,TRUE,
custom-pear-diamond-ring,,,,,,,,Yellow Gold,,3.00,PE-YELLOWGOLD-3.00,,continue,manual,12000,TRUE,TRUE,
custom-pear-diamond-ring,,,,,,,,Rose Gold,,0.50,PE-ROSEGOLD-0.50,,continue,manual,800,TRUE,TRUE,
custom-pear-diamond-ring,,,,,,,,Rose Gold,,0.75,PE-ROSEGOLD-0.75,,continue,manual,1200,TRUE,TRUE,
custom-pear-diamond-ring,,,,,,,,Rose Gold,,1.00,PE-ROSEGOLD-1.00,,continue,manual,2000,TRUE,TRUE,
custom-pear-diamond-ring,,,,,,,,Rose Gold,,1.50,PE-ROSEGOLD-1.50,,continue,manual,3500,TRUE,TRUE,
custom-pear-diamond-ring,,,,,,,,Rose Gold,,2.00,PE-ROSEGOLD-2.00,,continue,manual,6000,TRUE,TRUE,
custom-pear-diamond-ring,,,,,,,,Rose Gold,,3.00,PE-ROSEGOLD-3.00,,continue,manual,12000,TRUE,TRUE,
custom-pear-diamond-ring,,,,,,,,Platinum,,0.50,PE-PLATINUM-0.50,,continue,manual,1040,TRUE,TRUE,
custom-pear-diamond-ring,,,,,,,,Platinum,,0.75,PE-PLATINUM-0.75,,continue,manual,1560,TRUE,TRUE,
custom-pear-diamond-ring,,,,,,,,Platinum,,1.00,PE-PLATINUM-1.00,,continue,manual,2600,TRUE,TRUE,
custom-pear-diamond-ring,,,,,,,,Platinum,,1.50,PE-PLATINUM-1.50,,continue,manual,4550,TRUE,TRUE,
custom-pear-diamond-ring,,,,,,,,Platinum,,2.00,PE-PLATINUM-2.00,,continue,manual,7800,TRUE,TRUE,
custom-pear-diamond-ring,,,,,,,,Platinum,,3.00,PE-PLATINUM-3.00,,continue,manual,15600,TRUE,TRUE,
custom-radiant-diamond-ring,Custom Radiant Diamond Engagement Ring,"Customisable Radiant-cut diamond ring. Choose metal, carat, setting & engraving in the 3D builder.",Your Brand,Ring,"ring,Radiant,custom",TRUE,Metal,White Gold,Carat,0.50,RA-WHITEGOLD-0.50,,continue,manual,800,TRUE,TRUE,active
custom-radiant-diamond-ring,,,,,,,,White Gold,,0.75,RA-WHITEGOLD-0.75,,continue,manual,1200,TRUE,TRUE,
custom-radiant-diamond-ring,,,,,,,,White Gold,,1.00,RA-WHITEGOLD-1.00,,continue,manual,2000,TRUE,TRUE,
custom-radiant-diamond-ring,,,,,,,,White Gold,,1.50,RA-WHITEGOLD-1.50,,continue,manual,3500,TRUE,TRUE,
custom-radiant-diamond-ring,,,,,,,,White Gold,,2.00,RA-WHITEGOLD-2.00,,continue,manual,6000,TRUE,TRUE,
custom-radiant-diamond-ring,,,,,,,,White Gold,,3.00,RA-WHITEGOLD-3.00,,continue,manual,12000,TRUE,TRUE,
custom-radiant-diamond-ring,,,,,,,,Yellow Gold,,0.50,RA-YELLOWGOLD-0.50,,continue,manual,800,TRUE,TRUE,
custom-radiant-diamond-ring,,,,,,,,Yellow Gold,,0.75,RA-YELLOWGOLD-0.75,,continue,manual,1200,TRUE,TRUE,
custom-radiant-diamond-ring,,,,,,,,Yellow Gold,,1.00,RA-YELLOWGOLD-1.00,,continue,manual,2000,TRUE,TRUE,
custom-radiant-diamond-ring,,,,,,,,Yellow Gold,,1.50,RA-YELLOWGOLD-1.50,,continue,manual,3500,TRUE,TRUE,
custom-radiant-diamond-ring,,,,,,,,Yellow Gold,,2.00,RA-YELLOWGOLD-2.00,,continue,manual,6000,TRUE,TRUE,
custom-radiant-diamond-ring,,,,,,,,Yellow Gold,,3.00,RA-YELLOWGOLD-3.00,,continue,manual,12000,TRUE,TRUE,
custom-radiant-diamond-ring,,,,,,,,Rose Gold,,0.50,RA-ROSEGOLD-0.50,,continue,manual,800,TRUE,TRUE,
custom-radiant-diamond-ring,,,,,,,,Rose Gold,,0.75,RA-ROSEGOLD-0.75,,continue,manual,1200,TRUE,TRUE,
custom-radiant-diamond-ring,,,,,,,,Rose Gold,,1.00,RA-ROSEGOLD-1.00,,continue,manual,2000,TRUE,TRUE,
custom-radiant-diamond-ring,,,,,,,,Rose Gold,,1.50,RA-ROSEGOLD-1.50,,continue,manual,3500,TRUE,TRUE,
custom-radiant-diamond-ring,,,,,,,,Rose Gold,,2.00,RA-ROSEGOLD-2.00,,continue,manual,6000,TRUE,TRUE,
custom-radiant-diamond-ring,,,,,,,,Rose Gold,,3.00,RA-ROSEGOLD-3.00,,continue,manual,12000,TRUE,TRUE,
custom-radiant-diamond-ring,,,,,,,,Platinum,,0.50,RA-PLATINUM-0.50,,continue,manual,1040,TRUE,TRUE,
custom-radiant-diamond-ring,,,,,,,,Platinum,,0.75,RA-PLATINUM-0.75,,continue,manual,1560,TRUE,TRUE,
custom-radiant-diamond-ring,,,,,,,,Platinum,,1.00,RA-PLATINUM-1.00,,continue,manual,2600,TRUE,TRUE,
custom-radiant-diamond-ring,,,,,,,,Platinum,,1.50,RA-PLATINUM-1.50,,continue,manual,4550,TRUE,TRUE,
custom-radiant-diamond-ring,,,,,,,,Platinum,,2.00,RA-PLATINUM-2.00,,continue,manual,7800,TRUE,TRUE,
custom-radiant-diamond-ring,,,,,,,,Platinum,,3.00,RA-PLATINUM-3.00,,continue,manual,15600,TRUE,TRUE,
